sample_id,curing_days,cement,flyash,water,sa,viscosity,max_force,UCS,max_airt,max_var
P1G1_1-1,3,50,50,162.81,8.57,11347,7.01,3.57,28.80241422,0.601929989
p1g1_1-2,7,50,50,162.81,8.57,11347,9.34,4.76,26.15032629,0.147320841
P1G1_1-3,14,50,50,162.81,8.57,11347,16.4,8.62,27.03471133,0.317320844
P1G1_1-4,28,50,50,162.81,8.57,11347,26.57,13.53,25.31095841,2.460465875
P1G1_1-5,3,50,50,154.3,17.14,4036,9.11,4.64,28.76424883,0.104347721
P1G1_1-6,7,50,50,154.3,17.14,4036,14.44,7.35,27.40809571,0.422922462
P1G1_1-7,14,50,50,154.3,17.14,4036,18.51,9.3,27.18019008,0.296113955
P1G1_1-8,28,50,50,154.3,17.14,4036,33.26,16.94,24.97843061,2.862421832
P1G1_1-9,3,50,50,145.7,25.73,4473,9.87,5.03,28.93126046,0.458205324
P1G1_1-10,7,50,50,145.7,25.73,4473,15.12,7.7,27.04395373,0.07678311
P1G1_1-11,14,50,50,145.7,25.73,4473,22.35,11.38,26.33513977,0.309447808
P1G1_1-12,28,50,50,145.7,25.73,4473,36.68,18.68,24.88316996,0.462636059
P1G1_2-1,3,50,50,183.35,9.65,2509,4.05,2.06,29.04673378,1.60673403
P1G1_2-2,7,50,50,183.35,9.65,2509,5.89,3,27.39653879,0.071990836
P1G1_2-3,14,50,50,183.35,9.65,2509,10.69,5.44,27.97631839,0.195739484
P1G1_2-4,28,50,50,183.35,9.65,2509,35.22,17.94,24.18835341,0.541215439
P1G1_2-5,3,50,50,173.7,19.3,2945,4.66,2.37,29.47262724,0.463726495
P1G1_2-6,7,50,50,173.7,19.3,2945,8.85,4.51,27.34756054,0.109222794
P1G1_2-7,14,50,50,173.7,19.3,2945,12.28,6.25,29.87614881,0.599540421
P1G1_2-8,28,50,50,173.7,19.3,2945,19.97,10.17,22.0777783,0.085199941
P1G1_2-9,3,50,50,164.05,28.95,2945,6.87,3.5,29.62219377,0.69045214
P1G1_2-10,7,50,50,164.05,28.95,2945,12.21,6.22,27.15228528,0.156141398
P1G1_2-11,14,50,50,164.05,28.95,2945,17.24,8.78,27.7510827,0.217201365
P1G1_2-12,28,50,50,164.05,28.95,2945,29.25,14.89,22.41566213,0.148381307
P1G1_3-1,3,50,50,204.6,10.75,2291,2.15,1.09,29.30562995,0.396937356
P1G1_3-2,7,50,50,204.6,10.75,2291,6.04,3.08,24.66103576,0.349098966
P1G1_3-3,14,50,50,204.6,10.75,2291,8.2,4.18,29.50206729,0.916331772
P1G1_3-4,28,50,50,204.6,10.75,2291,14.58,7.43,24.61770582,3.773778205
P1G1_3-5,3,50,50,193.8,21.5,1745,2.48,1.04,29.17470244,0.577936282
P1G1_3-6,7,50,50,193.8,21.5,1745,6.58,3.35,27.20286763,0.166511677
P1G1_3-7,14,50,50,193.8,21.5,1745,9.21,4.61,28.41612209,0.19456477
P1G1_3-8,28,50,50,193.8,21.5,1745,18.99,9.67,25.02722405,0.163804511
P1G1_3-9,3,50,50,183,32.25,2509,4.37,2.23,29.65300463,0.313482672
P1G1_3-10,7,50,50,183,32.25,2509,7.84,3.99,27.28282362,0.151073533
P1G1_3-11,14,50,50,183,32.25,2509,11.41,5.81,29.22935258,0.184573721
P1G1_3-12,28,50,50,183,32.25,2509,20.7,10.54,25.63827314,0.364955795
P2G2_1-1,3,40,60,162.81,8.57,4473,5.83,2.97,28.61480364,0.362632805
P2G2_1-2,7,40,60,162.81,8.57,4473,7.82,3.97,27.0072707,0.481211394
P2G2_1-3,14,40,60,162.81,8.57,4473,9.71,4.3,29.03972145,0.093973987
P2G2_1-4,28,40,60,162.81,8.57,4473,15.92,8.11,25.89316682,0.376197698
P2G2_1-5,3,40,60,154.3,17.14,3382,5.89,3,28.73869154,0.764708062
P2G2_1-6,7,40,60,154.3,17.14,3382,9.35,4.76,26.97893312,0.193876848
P2G2_1-7,14,40,60,154.3,17.14,3382,11.67,5.64,29.8927889,0.34011357
P2G2_1-8,28,40,60,154.3,17.14,3382,22.6,11.26,29.03972145,0.093973987
P2G2_1-9,3,40,60,145.7,25.73,3164,7.15,3.64,28.62748764,0.304623367
